Forest tenure,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,BurntACT,BurntNSW,BurntNT,BurntQld,BurntSA,BurntTas,BurntVic,BurntWA
Leasehold forest,8,4249,9318,28135,1447,0,0,4089,3,19,0,11,22,0,0,50
Multiple-use public forest,5,1856,0,2881,22,612,3052,1344,0,880,0,99,0,10,878,31
Nature conservation reserve,113,5569,15,4378,1698,1544,3367,5035,80,2750,0,132,62,3,496,286
Other Crown land,5,755,881,1308,91,380,241,7382,0,109,0,28,0,6,13,749
Private forest,0,7414,13435,14213,1580,806,984,2600,0,1254,0,94,33,7,57,22
Unresolved tenure,0,81,38,666,20,0,0,0,0,2,0,2,0,0,0,0
Total native forest,130,19925,23686,51580,4856,3342,7645,20450,83,5014,0,367,118,27,1444,1138
